,X,Y,Z,azimuth,reflectivity,laser_id,,,,,vertical_angle
189,0.291498,6.86897,1.58725,243,46,13,,,,,13
190,0.297286,6.97661,-0.121888,244,58,14,,,,,-1
191,0.294239,6.8769,1.84434,245,45,15,,,,,15
192,0.249723,5.67415,-1.52186,252,14,0,,,,,-15
193,0.307097,6.95016,0.121434,253,90,1,,,,,1
194,0.292335,6.59,-1.52292,254,17,2,,,,,-13
195,0.308346,6.92363,0.363212,255,51,3,,,,,3
196,0.309385,6.94696,-1.35169,255,56,4,,,,,-11
197,0.308266,6.89475,0.603815,256,99,5,,,,,5
198,0.311787,6.94633,-1.1013,257,57,6,,,,,-9
199,0.309713,6.87336,0.844798,258,66,7,,,,,7
200,0.312707,6.91296,-0.849673,259,46,8,,,,,-7
201,0.310998,6.87518,1.09004,259,61,9,,,,,9
202,0.317146,6.9841,-0.611659,260,83,10,,,,,-5
203,0.313441,6.87603,1.33795,261,67,11,,,,,11
204,0.318083,6.95118,-0.364677,262,31,12,,,,,-3
205,0.314222,6.84066,1.58096,263,46,13,,,,,13
206,0.320071,6.94157,-0.121294,264,64,14,,,,,-1
207,0.315085,6.83343,1.83296,264,49,15,,,,,15
208,0.26907,5.6636,-1.51927,272,14,0,,,,,-15
209,0.329641,6.91309,0.120806,273,97,1,,,,,1
210,0.316082,6.60452,-1.52652,274,15,2,,,,,-13
211,0.331458,6.90056,0.36206,275,51,3,,,,,3
212,0.332785,6.92819,-1.34826,275,71,4,,,,,-11
213,0.330412,6.85383,0.600329,276,84,5,,,,,5
214,0.334218,6.90771,-1.09535,277,61,6,,,,,-9
215,0.332741,6.85241,0.842361,278,66,7,,,,,7
216,0.335386,6.88209,-0.846017,279,45,8,,,,,-7
217,0.335133,6.85229,1.08659,280,66,9,,,,,9
218,0.339187,6.93519,-0.607476,280,63,10,,,,,-5
219,0.33542,6.83371,1.32994,281,66,11,,,,,11
220,0.341755,6.93806,-0.364049,282,68,12,,,,,-3
221,0.336655,6.81033,1.57421,283,42,13,,,,,13
222,0.343012,6.91444,-0.12084,284,58,14,,,,,-1
223,0.338399,6.7975,1.82364,285,46,15,,,,,15
224,0.289428,5.6742,-1.52237,292,14,0,,,,,-15
225,0.352032,6.87795,0.120212,293,90,1,,,,,1
226,0.338635,6.59364,-1.52427,294,15,2,,,,,-13
227,0.354824,6.8854,0.361327,295,59,3,,,,,3
228,0.35535,6.89562,-1.34215,295,68,4,,,,,-11
229,0.352585,6.81881,0.597365,296,89,5,,,,,5
230,0.356589,6.87297,-1.09004,297,57,6,,,,,-9
231,0.354904,6.8175,0.838217,298,67,7,,,,,7
232,0.358993,6.87295,-0.845042,299,42,8,,,,,-7
233,0.356721,6.82944,1.08315,299,67,9,,,,,9
234,0.361725,6.90213,-0.604687,300,65,10,,,,,-5
235,0.357416,6.79721,1.32307,301,71,11,,,,,11
236,0.364393,6.9069,-0.362479,302,81,12,,,,,-3
237,0.359395,6.78965,1.56971,303,47,13,,,,,13
238,0.366085,6.89323,-0.120491,304,63,14,,,,,-1
239,0.360324,6.78476,1.82053,304,45,15,,,,,15
240,0.309443,5.67701,-1.52341,312,16,0,,,,,-15
241,0.374729,6.85272,0.119793,313,95,1,,,,,1
242,0.360261,6.56712,-1.51842,314,14,2,,,,,-13
243,0.37732,6.8562,0.359862,315,55,3,,,,,3
244,0.378555,6.87865,-1.3391,315,66,4,,,,,-11
245,0.376166,6.81356,0.597017,316,89,5,,,,,5
246,0.379267,6.84801,-1.08628,317,54,6,,,,,-9
247,0.377158,6.78847,0.834805,318,68,7,,,,,7
248,0.380331,6.82408,-0.839192,319,39,8,,,,,-7
249,0.379349,6.80646,1.07971,319,66,9,,,,,9
250,0.384815,6.88292,-0.603118,320,72,10,,,,,-5
251,0.379822,6.7724,1.31849,321,75,11,,,,,11
252,0.386145,6.86371,-0.360281,322,66,12,,,,,-3
253,0.381446,6.75917,1.56296,323,45,13,,,,,13
254,0.388788,6.86796,-0.120073,324,57,14,,,,,-1
255,0.382477,6.75646,1.81329,324,46,15,,,,,15
256,0.329034,5.67204,-1.52237,332,14,0,,,,,-15
257,0.397834,6.83739,0.119549,333,90,1,,,,,1
258,0.383409,6.56972,-1.51932,334,10,2,,,,,-13
259,0.397959,6.81902,0.357978,334,59,3,,,,,3
260,0.40004,6.83417,-1.3307,335,64,4,,,,,-11
261,0.398546,6.78834,0.594925,336,94,5,,,,,5
262,0.402007,6.82693,-1.08315,337,52,6,,,,,-9
263,0.399564,6.76532,0.832124,338,66,7,,,,,7
264,0.402623,6.79695,-0.836024,339,52,8,,,,,-7
265,0.401353,6.77552,1.07502,339,70,9,,,,,9
266,0.407066,6.8517,-0.600503,340,74,10,,,,,-5
267,0.402642,6.75732,1.31582,341,71,11,,,,,11
268,0.409148,6.84637,-0.359443,342,75,12,,,,,-3
269,0.403173,6.72667,1.55576,343,45,13,,,,,13
270,0.41036,6.82664,-0.119374,344,61,14,,,,,-1
271,0.404899,6.7358,1.80811,344,45,15,,,,,15
272,0.348357,5.66314,-1.5203,352,11,0,,,,,-15
273,0.419728,6.80403,0.118991,353,86,1,,,,,1
