Point ID,Points_m_XYZ_0,Points_m_XYZ_1,Points_m_XYZ_2,Points_m_XYZ_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
238,0.380618,6.87242,-0.120142,6.884,628248971,317,6.884,60,14,628248971,-1
239,0.374542,6.76271,1.81484,7.012,628248974,317,7.012,39,15,628248974,15
240,0.321666,5.66472,-1.5203,5.874,628248994,325,5.874,14,0,628248994,-15
241,0.388911,6.82789,0.119374,6.84,628248997,326,6.84,91,1,628248997,1
242,0.374271,6.55072,-1.51482,6.734,628248999,327,6.734,12,2,628248999,-13
243,0.390995,6.84343,0.359234,6.864,628249001,327,6.864,63,3,628249001,3
244,0.392813,6.85425,-1.33452,6.994,628249003,328,6.994,64,4,628249003,-11
245,0.390938,6.80075,0.595971,6.838,628249006,329,6.838,91,5,628249006,5
246,0.393894,6.83136,-1.08378,6.928,628249008,330,6.928,57,6,628249008,-9
247,0.391184,6.76382,0.83188,6.826,628249010,331,6.826,64,7,628249010,7
248,0.394548,6.8014,-0.836511,6.864,628249013,332,6.864,45,8,628249013,-7
249,0.395405,6.79565,1.07815,6.892,628249015,333,6.892,69,9,628249015,9
250,0.399273,6.86214,-0.601375,6.9,628249017,333,6.9,67,10,628249017,-5
251,0.394157,6.75388,1.31506,6.892,628249020,334,6.892,67,11,628249020,11
252,0.4002,6.8369,-0.35892,6.858,628249022,335,6.858,75,12,628249022,-3
253,0.395639,6.73883,1.55846,6.928,628249024,336,6.928,42,13,628249024,13
254,0.403077,6.8451,-0.119689,6.858,628249027,337,6.858,64,14,628249027,-1
255,0.397732,6.73429,1.80759,6.984,628249029,338,6.984,43,15,628249029,15
256,0.341089,5.65778,-1.51875,5.868,628249050,345,5.868,11,0,628249050,-15
257,0.412139,6.81651,0.1192,6.83,628249052,346,6.83,84,1,628249052,1
258,0.397371,6.55327,-1.51572,6.738,628249054,347,6.738,12,2,628249054,-13
259,0.411979,6.79418,0.356722,6.816,628249056,347,6.816,57,3,628249056,3
260,0.414115,6.80973,-1.32612,6.95,628249059,348,6.95,64,4,628249059,-11
261,0.412855,6.76952,0.593356,6.808,628249061,349,6.808,94,5,628249061,5
262,0.416772,6.81417,-1.08127,6.912,628249063,350,6.912,54,6,628249063,-9
263,0.413941,6.74854,0.830174,6.812,628249066,351,6.812,72,7,628249066,7
264,0.417678,6.79008,-0.835292,6.854,628249068,352,6.854,58,8,628249068,-7
265,0.415634,6.75684,1.0722,6.854,628249070,352,6.854,73,9,628249070,9
266,0.421752,6.83684,-0.599283,6.876,628249073,353,6.876,72,10,628249073,-5
267,0.415912,6.72307,1.30933,6.862,628249075,354,6.862,67,11,628249075,11
268,0.422949,6.81752,-0.357978,6.84,628249077,355,6.84,78,12,628249077,-3
269,0.417466,6.71018,1.55216,6.9,628249080,356,6.9,47,13,628249080,13
270,0.425101,6.81371,-0.119165,6.828,628249082,357,6.828,55,14,628249082,-1
271,0.41946,6.72329,1.805,6.974,628249084,357,6.974,45,15,628249084,15
272,0.360221,5.64692,-1.51616,5.858,628249105,365,5.858,11,0,628249105,-15
273,0.434271,6.78909,0.118746,6.804,628249107,366,6.804,91,1,628249107,1
274,0.421117,6.56545,-1.51887,6.752,628249109,367,6.752,15,2,628249109,-13
275,0.43467,6.77675,0.355884,6.8,628249112,367,6.8,57,3,628249112,3
276,0.436623,6.78865,-1.32231,6.93,628249114,368,6.93,64,4,628249114,-11
277,0.434688,6.7402,0.590916,6.78,628249116,369,6.78,94,5,628249116,5
278,0.438389,6.77916,-1.07596,6.878,628249119,370,6.878,54,6,628249119,-9
279,0.436853,6.73715,0.828955,6.802,628249121,371,6.802,71,7,628249121,7
280,0.439188,6.7549,-0.831149,6.82,628249123,372,6.82,51,8,628249123,-7
281,0.43834,6.72374,1.0672,6.822,628249126,373,6.822,70,9,628249126,9
