intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,,
5,4,20298,508,652438928,652438928,-11,-0.1946843266487122,-0.4590930342674255,-0.09693097323179245,,56354
21,8,20302,592,652438938,652438938,-7,-0.2297774404287338,-0.5407968163490295,-0.07214665412902832,,56364
100,10,20303,0.59,652438942,652438942,-5,-0.2299373745918274,-0.5409108996391296,-0.0514218881726265,,56368
90,12,20305,554,652438947,652438947,-3,-0.2166127115488052,-0.509071946144104,-0.028994120657444,,56373
50,13,20306,0.68,652438949,652438949,13,-0.2595259249210358,-0.6096289753913879,0.1529667228460312,,56375
97,14,20307,552,652438951,652438951,-1,-0.2162712663412094,-0.5077774524688721,-0.009633728303015232,,56377
47,15,20308,654,652438954,652438954,15,-0.2476425915956497,-0.5811519622802734,0.1692676544189453,,56380
24,1,20314,642,652438977,652438977,1,-0.2522542178630829,-0.5902594923973083,0.01120444480329752,,56403
2,4,20316,514,652438984,652438984,-11,-0.1984420865774155,-0.463894248008728,-0.09807582199573517,,56410
31,8,20320,596,652438993,652438993,-7,-0.2330392897129059,-0.5437214374542236,-0.07263413071632385,,56419
100,10,20321,586,652438998,652438998,-5,-0.2300651520490646,-0.5365235805511475,-0.05107326433062553,,56424
1,11,20322,0.6880000000000001,652439000,652439000,11,-0.2662690877914429,-0.6206538677215576,0.1312765926122665,,56426
90,12,20323,554,652439002,652439002,-3,-0.2182109504938126,-0.5083889365196228,-0.028994120657444,,56428
25,13,20324,0.67,652439004,652439004,13,-0.2575951218605042,-0.5998575687408447,0.1507172137498856,,56430
88,14,20325,556,652439007,652439007,-1,-0.2194441556930542,-0.5107700824737549,-0.009703538380563259,,56433
38,15,20325,0.67,652439009,652439009,15,-0.255466490983963,-0.5946143865585327,0.1734087616205215,,56435
8,1,20334,0.64,652439032,652439032,1,-0.2535208165645599,-0.5875393152236938,0.01116953976452351,,56458
2,4,20336,538,652439039,652439039,-11,-0.2094015032052994,-0.4848266839981079,-0.1026552394032478,,56465
21,8,20340,0.58,652439048,652439048,-7,-0.2286288142204285,-0.5283300280570984,-0.07068421691656113,,56474
95,10,20341,598,652439053,652439053,-5,-0.2366861253976822,-0.5466875433921814,-0.05211913585662842,,56479
1,11,20342,0.6960000000000001,652439055,652439055,11,-0.2715552747249603,-0.6269267201423645,0.1328030675649643,,56481
100,12,20343,552,652439057,652439057,-3,-0.2191900610923767,-0.5057916045188904,-0.02888944745063782,,56483
10,13,20344,646,652439060,652439060,13,-0.2503852248191833,-0.5774996280670166,0.1453183740377426,,56486
88,14,20345,556,652439062,652439062,-1,-0.2212257385253906,-0.510001003742218,-0.009703538380563259,,56488
33,15,20345,676,652439064,652439064,15,-0.2598468661308289,-0.599035918712616,0.1749616712331772,,56490
25,1,20355,624,652439087,652439087,1,-0.2492807358503342,-0.5719410181045532,0.01089030131697655,,56513
2,4,20357,522,652439094,652439094,-11,-0.2048967182636261,-0.469660222530365,-0.09960229694843292,,56520
9,8,20361,628,652439103,652439103,-7,-0.2496448457241058,-0.5711427330970764,-0.07653395086526871,,56529
100,10,20362,578,652439108,652439108,-5,-0.2307053506374359,-0.5275616645812988,-0.05037602037191391,,56534
1,11,20363,736,652439110,652439110,11,-0.2895898222923279,-0.6619000434875488,0.1404354274272919,,56536
