reflectivity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,X,Y,Z
70,1,19986,1338,268322383,268322383,1,-0.4544801712036133,-1.258231520652771,0.02335131913423538
9,2,19987,0.61,268322385,268322385,-13,-0.2020172923803329,-0.5589808821678162,-0.1372201442718506
65,3,19988,1318,268322387,268322387,3,-0.4475733935832977,-1.237757682800293,0.06897879391908646
6,4,19988,646,268322390,268322390,-11,-0.215637132525444,-0.5963413119316101,-0.1232626140117645
55,5,19989,1326,268322392,268322392,5,-0.449409008026123,-1.242156028747559,0.1155685111880302
7,6,19990,792,268322394,268322394,-9,-0.2662616074085236,-0.7355396151542664,-0.123896099627018
67,7,19991,1318,268322397,268322397,7,-0.4454909861087799,-1.229984521865845,0.1606237888336182
15,8,19992,904,268322399,268322399,-7,-0.3057040274143219,-0.8435778617858887,-0.1101698875427246
57,9,19992,1316,268322401,268322401,9,-0.4428512156009674,-1.2220299243927,0.2058677524328232
66,10,19993,1.37,268322404,268322404,-5,-0.4652173519134521,-1.283049345016479,-0.1194033697247505
60,11,19994,1332,268322406,268322406,11,-0.4459137916564941,-1.229141473770142,0.2541575729846954
67,12,19995,1354,268322408,268322408,-3,-0.4613516330718994,-1.271003246307373,-0.07086288183927536
48,13,19996,1322,268322411,268322411,13,-0.4397168755531311,-1.210741519927979,0.2973853051662445
64,14,19997,1324,268322413,268322413,-1,-0.4521143138408661,-1.244200468063354,-0.02310698665678501
49,15,19997,1336,268322415,268322415,15,-0.4407340884208679,-1.212882518768311,0.3457822501659393
73,1,20006,1354,268322438,268322438,1,-0.4643566906452179,-1.271664500236511,0.02363055758178234
9,2,20007,0.61,268322440,268322440,-13,-0.2039672583341599,-0.5582723021507263,-0.1372201442718506
66,3,20008,1342,268322443,268322443,3,-0.4601199328899384,-1.258697986602783,0.07023485004901886
8,4,20008,634,268322445,268322445,-11,-0.2136731445789337,-0.584521472454071,-0.1209729015827179
56,5,20009,1326,268322447,268322447,5,-0.4537422060966492,-1.240579724311829,0.1155685111880302
8,6,20010,764,268322450,268322450,-9,-0.2593235075473785,-0.7086347937583923,-0.1195159330964088
70,7,20011,1332,268322452,268322452,7,-0.4545593559741974,-1.241470456123352,0.1623299717903137
13,8,20012,892,268322454,268322454,-7,-0.3045497238636017,-0.8313219547271729,-0.108707457780838
61,9,20013,1.34,268322457,268322457,9,-0.4554851353168488,-1.242655158042908,0.2096221894025803
72,10,20013,1378,268322459,268322459,-5,-0.4724359512329102,-1.288900375366211,-0.1201006099581718
59,11,20014,1342,268322461,268322461,11,-0.4535814821720123,-1.236793518066406,0.2560656666755676
66,12,20015,1.37,268322463,268322463,-3,-0.4712895750999451,-1.284385204315186,-0.07170026004314423
54,13,20016,1338,268322466,268322466,13,-0.4493134319782257,-1.223834037780762,0.3009845018386841
63,14,20017,1348,268322468,268322468,-1,-0.4647287130355835,-1.26513946056366,-0.02352584339678288
48,15,20018,1334,268322470,268322470,15,-0.4445101320743561,-1.209445834159851,0.3452646136283875
70,1,20027,1354,268322493,268322493,1,-0.469014436006546,-1.269953966140747,0.02363055758178234
7,2,20028,674,268322496,268322496,-13,-0.2276264429092407,-0.6160150170326233,-0.1516170054674149
62,3,20029,1352,268322498,268322498,3,-0.4681931734085083,-1.266369819641113,0.07075821608304977
6,4,20029,642,268322500,268322500,-11,-0.218537300825119,-0.5911000967025757,-0.1224993765354156
61,5,20030,1342,268322503,268322503,5,-0.4638159573078156,-1.253857374191284,0.1169630065560341
8,6,20031,0.76,268322505,268322505,-9,-0.2605477273464203,-0.7039744257926941,-0.1188901960849762
68,7,20032,1344,268322507,268322507,7,-0.4632426202297211,-1.250965356826782,0.1637924015522003
13,8,20033,0.89,268322510,268322510,-7,-0.3069049417972565,-0.8283386826515198,-0.1084637120366096
58,9,20033,1344,268322512,268322512,9,-0.4611926376819611,-1.244762301445007,0.2102479189634323
70,10,20034,1398,268322514,268322514,-5,-0.4840821623802185,-1.305841684341431,-0.1218437254428864
61,11,20035,1348,268322516,268322516,11,-0.4601596891880035,-1.240644931793213,0.2572105228900909
70,12,20036,1388,268322519,268322519,-3,-0.4822478294372559,-1.299501538276672,-0.07264230400323868
51,13,20037,1356,268322521,268322521,13,-0.4599008858203888,-1.23862087726593,0.3050336241722107
66,14,20038,1368,268322523,268322523,-1,-0.4763264060020447,-1.282172799110413,-0.02387489192187786
48,15,20038,1346,268322526,268322526,15,-0.4527657330036163,-1.218752384185791,0.3483704328536987
14,0,20046,514,268322546,268322546,-15,-0.1735483109951019,-0.4651657938957214,-0.1330329924821854
68,1,20047,1368,268322549,268322549,1,-0.4783398509025574,-1.281422972679138,0.02387489192187786
9,2,20048,578,268322551,268322551,-13,-0.1970477104187012,-0.5275893807411194,-0.1300217062234879
65,3,20049,1374,268322553,268322553,3,-0.480301171541214,-1.285307645797729,0.07190960645675659
8,4,20049,0.66,268322556,268322556,-11,-0.2267843186855316,-0.6068850755691528,-0.1259339302778244
58,5,20050,1.36,268322558,268322558,5,-0.4744696319103241,-1.269026756286621,0.118531808257103
8,6,20051,0.76,268322560,268322560,-9,-0.2630034685134888,-0.7030606865882874,-0.1188901960849762
65,7,20052,1346,268322563,268322563,7,-0.4683023393154144,-1.251199841499329,0.1640361398458481
14,8,20053,884,268322565,268322565,-7,-0.3077060282230377,-0.8216853141784668,-0.1077324971556664
56,9,20054,1.36,268322567,268322567,9,-0.471296489238739,-1.257861971855164,0.2127508670091629
68,10,20054,1412,268322569,268322569,-5,-0.4935308396816254,-1.317204117774963,-0.1230639070272446
60,11,20055,1356,268322572,268322572,11,-0.4672441482543945,-1.246384382247925,0.2587369978427887
67,12,20056,1.39,268322574,268322574,-3,-0.4874824285507202,-1.299680233001709,-0.07274697721004486
54,13,20057,1378,268322576,268322576,13,-0.4717532992362976,-1.25707745552063,0.3099825382232666
66,14,20058,1388,268322579,268322579,-1,-0.4878283441066742,-1.299223065376282,-0.02422394044697285
47,15,20059,1362,268322581,268322581,15,-0.4626647531986237,-1.231552243232727,0.3525115251541138
14,0,20065,514,268322602,268322602,-15,-0.1750899106264114,-0.4645877182483673,-0.1330329924821854
